Prov,Pengangguran.terbuka,IPM,PDRB,Angka.harapan.hidup,Lama.sekolah,pendudukmiskintot
ACEH,6.17,72.8,39156.01,70.005,9.79,13.6475
SUMATERA UTARA,6.16,72.71,63194.18,69.28,9.99,8.3325
SUMATERA BARAT,6.28,73.26,50593.41,69.635,9.51,5.9775
RIAU,4.37,73.52,149914.13,71.72,9.54,6.745
JAMBI,4.59,72.14,76096.4,71.26,9.07,8.375
SUMATERA SELATAN,4.63,70.9,68338.1,70.03,8.82,11.8025
BENGKULU,3.59,72.16,43741.71,69.47,9.28,14.535
LAMPUNG,4.52,70.45,45129.34,70.775,8.61,10.6875
KEP. BANGKA BELITUNG,4.77,72.24,63752.24,70.78,8.57,4.74
KEP. RIAU,8.23,76.46,141682.65,70.155,10.46,8.1125
DKI JAKARTA,7.18,81.65,298359.97,73.06,11.3,2.325
JAWA BARAT,8.31,73.12,49038.41,73.38,9.14,8.68
JAWA TENGAH,5.57,72.79,42149.54,74.515,8.38,11.0075
DI YOGYAKARTA,4.06,80.64,44044.64,75.08,10.07,12.2125
JAWA TIMUR,5.49,72.75,66364.73,71.43,8.5,10.77
BANTEN,8.09,73.32,60990.14,70.07,9.46,6.5925
BALI,4.8,76.44,55544.66,72.28,9.74,4.83
NUSA TENGGARA BARAT,2.89,69.46,28672.54,66.735,8.31,13.745
NUSA TENGGARA TIMUR,3.54,65.9,21718.26,67.195,8.25,16.4525
KALIMANTAN BARAT,5.11,68.63,46161.33,70.805,8.1,6.3075
KALIMANTAN TENGAH,4.26,71.63,72945.07,69.805,9.03,5.235
KALIMANTAN SELATAN,4.74,71.84,60079.32,68.88,8.89,4.5375
KALIMANTAN TIMUR,5.71,77.44,238700.72,74.65,10.13,7.28
KALIMANTAN UTARA,4.33,71.83,190611.1,72.585,9.45,7.285
SULAWESI UTARA,6.61,73.81,59043.36,71.805,9.87,7.5275
SULAWESI TENGAH,3,70.28,105545.36,68.88,9.17,11.455
SULAWESI SELATAN,4.51,72.82,65593.03,70.71,9.09,8.3725
SULAWESI TENGGARA,3.36,72.23,58764.27,71.36,9.59,10.335
GORONTALO,2.58,69.81,39886.78,68.24,8.39,14.35
SULAWESI BARAT,2.34,66.92,37070.31,65.29,8.47,10.9825
MALUKU,6.88,70.22,28533.85,66.14,10.37,14.94
MALUKU UTARA,3.98,69.47,53741.05,68.495,9.6,6.115
PAPUA BARAT,5.37,65.89,77149.68,66.19,10.14,19.535
PAPUA,2.83,61.39,59411.79,65.97,7.31,20.345
